internal_edge_count,external_edge_count,control,size
2,4,False,4
1,2,False,2
2,12,False,8
2,12,False,8
2,4,False,4
1,10,False,6
2,12,False,8
3,2,False,4
1,14,False,8
3,4,False,5
1,6,False,4
4,6,False,7
3,2,False,4
2,10,False,7
3,8,False,7
2,4,False,4
1,4,False,3
3,10,False,8
0,8,False,4
1,2,False,2
2,8,False,6
3,4,False,5
2,8,False,6
2,14,False,9
2,14,False,9
3,14,False,10
1,8,False,5
2,8,False,6
1,2,False,2
1,12,False,7
3,14,False,10
0,12,False,6
0,8,False,4
1,2,False,2
2,14,False,9
1,2,False,2
6,10,False,11
1,10,False,6
2,12,False,8
1,8,False,5
2,6,False,5
1,2,False,2
2,12,False,8
1,6,False,4
1,6,False,4
1,2,False,2
2,14,False,9
4,6,False,7
5,10,False,10
1,14,False,8
1,10,False,6
1,2,False,2
1,8,False,5
1,6,False,4
0,10,False,5
1,8,False,5
2,12,False,8
1,4,False,3
1,4,False,3
1,6,False,4
3,6,False,6
2,12,False,8
1,6,False,4
2,10,False,7
1,14,False,8
1,2,False,2
0,10,False,5
0,2,False,1
0,2,False,1
1,2,False,2
1,4,False,3
1,12,False,7
2,8,False,6
1,8,False,5
4,4,False,6
0,4,False,2
1,4,False,3
1,2,False,2
2,14,False,9
0,16,False,8
2,8,False,6
4,12,False,10
1,4,False,3
1,8,False,5
3,2,False,4
2,10,False,7
0,14,False,7
1,8,False,5
3,6,False,6
0,2,False,1
1,14,False,8
1,6,False,4
0,6,False,3
2,6,False,5
2,8,False,6
0,10,False,5
0,6,False,3
0,10,False,5
1,2,False,2
2,4,False,4
3,14,False,10
0,6,False,3
3,10,False,8
0,2,False,1
2,8,False,6
0,10,False,5
3,2,False,4
3,0,False,3
1,14,False,8
1,4,False,3
1,12,False,7
1,10,False,6
2,10,False,7
3,2,False,4
4,8,False,8
2,4,False,4
1,8,False,5
1,8,False,5
1,6,False,4
2,14,False,9
1,10,False,6
3,4,False,5
3,8,False,7
0,4,False,2
4,8,False,8
1,10,False,6
2,12,False,8
1,4,False,3
3,4,False,5
1,8,False,5
1,2,False,2
1,8,False,5
1,10,False,6
1,8,False,5
0,10,False,5
2,10,False,7
1,10,False,6
1,14,False,8
1,2,False,2
1,4,False,3
5,10,False,10
3,10,False,8
1,8,False,5
2,14,False,9
0,8,False,4
3,16,False,11
1,12,False,7
3,8,False,7
2,10,False,7
3,6,False,6
1,8,False,5
3,14,False,10
1,8,False,5
1,4,False,3
4,4,False,6
3,16,False,11
3,4,False,5
2,12,False,8
1,10,False,6
1,4,False,3
2,12,False,8
1,10,False,6
0,6,False,3
1,14,False,8
1,6,False,4
1,10,False,6
3,10,False,8
1,4,False,3
0,4,False,2
1,10,False,6
1,14,False,8
3,8,False,7
0,4,False,2
3,10,False,8
0,12,False,6
1,4,False,3
1,2,False,2
3,2,False,4
1,4,False,3
1,6,False,4
2,10,False,7
1,10,False,6
2,14,False,9
1,2,False,2
0,8,False,4
1,12,False,7
1,8,False,5
3,12,False,9
2,12,False,8
1,6,False,4
0,6,False,3
0,10,False,5
2,8,False,6
0,4,False,2
3,12,False,9
3,4,False,5
1,2,False,2
2,10,False,7
3,10,False,8
2,14,False,9
2,14,False,9
0,2,False,1
2,12,False,8
3,12,False,9
4,6,False,7
1,8,False,5
1,2,False,2
0,4,False,2
2,12,False,8
4,6,False,7
1,8,False,5
2,4,False,4
1,6,False,4
0,6,False,3
4,6,False,7
3,2,False,4
0,6,False,3
1,4,False,3
1,12,False,7
2,10,False,7
3,6,False,6
0,4,False,2
3,6,False,6
4,8,False,8
2,10,False,7
2,10,False,7
0,10,False,5
1,14,False,8
0,6,False,3
3,8,False,7
1,6,False,4
4,10,False,9
2,14,False,9
1,4,False,3
5,4,False,7
2,6,False,5
4,14,False,11
3,12,False,9
3,8,False,7
1,10,False,6
1,10,False,6
0,12,False,6
7,10,False,12
1,4,False,3
2,6,False,5
3,0,False,3
3,0,False,3
1,12,False,7
2,12,False,8
1,2,False,2
1,6,False,4
2,10,False,7
1,2,False,2
1,8,False,5
1,4,False,3
3,2,False,4
3,12,False,9
4,12,False,10
1,12,False,7
3,8,False,7
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,2,True,1
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
1,2,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
1,2,True,2
1,2,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
0,4,True,2
